Species	Genus	CF	n_genomes_cf	positive_genomes	prevalence	mean_copy_all	mean_copy_pos	n_genomes	n_skin	n_nasal	module	functional_theme	functional_theme_short
Acinetobacter junii	Acinetobacter	CF8	10	10	1	1.9	1.9	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF1	10	10	1	1	1	10	10	0	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter junii	Acinetobacter	CF3	10	10	1	1	1	10	10	0	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF4	10	10	1	1	1	10	10	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter junii	Acinetobacter	CF7	10	8	0.8	0.8	1	10	10	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter junii	Acinetobacter	CF2_10	10	10	1	1.9	1.9	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF2_4	10	9	0.9	1	1.11111111111111	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF6	10	10	1	1	1	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF5	10	8	0.8	0.8	1	10	10	0	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter junii	Acinetobacter	CF9_12	10	0	0	0	0	10	10	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter junii	Acinetobacter	CF9_9	10	10	1	1	1	10	10	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter junii	Acinetobacter	CF10	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter junii	Acinetobacter	CF22	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter junii	Acinetobacter	CF25	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter junii	Acinetobacter	CF11	10	3	0.3	0.3	1	10	10	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF19	10	10	1	8.3	8.3	10	10	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF13	10	10	1	3	3	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter junii	Acinetobacter	CF14	10	10	1	1	1	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter junii	Acinetobacter	CF24	10	10	1	1	1	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter junii	Acinetobacter	CF15_17	10	0	0	0	0	10	10	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter junii	Acinetobacter	CF15_19	10	10	1	1	1	10	10	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter junii	Acinetobacter	CF16	10	9	0.9	0.9	1	10	10	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter junii	Acinetobacter	CF17_20	10	10	1	1	1	10	10	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF17_23	10	0	0	0	0	10	10	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter junii	Acinetobacter	CF18	10	10	1	1	1	10	10	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter junii	Acinetobacter	CF20	10	10	1	1	1	10	10	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter junii	Acinetobacter	CF21	10	10	1	1	1	10	10	0	module16	Poorly characterized candidate modules	Poorly characterized
Acinetobacter junii	Acinetobacter	CF23	10	10	1	1	1	10	10	0	module17	Poorly characterized candidate modules	Poorly characterized
Acinetobacter junii	Acinetobacter	CF26	10	0	0	0	0	10	10	0	module18	Intercellular communication signal	Communication signal
Acinetobacter lwoffii_K	Acinetobacter	CF0	3	3	1	1	1	3	3	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter lwoffii_K	Acinetobacter	CF12	3	3	1	3.33333333333333	3.33333333333333	3	3	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
