phylum,CF_id,positive_species,total_species_in_phylum,percentage
Armatimonadota,CF11,5,744,0.6720430107526881
Armatimonadota,CF12,439,744,59.005376344086024
Armatimonadota,CF13,355,744,47.715053763440864
Armatimonadota,CF14,316,744,42.473118279569896
Armatimonadota,CF15_17,203,744,27.284946236559136
Armatimonadota,CF16,17,744,2.28494623655914
Armatimonadota,CF17_20,41,744,5.510752688172043
Armatimonadota,CF18,106,744,14.24731182795699
Armatimonadota,CF20,6,744,0.8064516129032258
Armatimonadota,CF21,66,744,8.870967741935484
Armatimonadota,CF22,4,744,0.5376344086021506
Armatimonadota,CF23,32,744,4.301075268817205
Armatimonadota,CF24,254,744,34.13978494623656
Armatimonadota,CF25,2,744,0.2688172043010753
Armatimonadota,CF26,1,744,0.13440860215053765
Armatimonadota,CF2_4,3,744,0.4032258064516129
Armatimonadota,CF4,47,744,6.317204301075269
Armatimonadota,CF5,227,744,30.510752688172044
Armatimonadota,CF6,85,744,11.424731182795698
Armatimonadota,CF7,67,744,9.005376344086022
Atribacterota,CF12,63,126,50.0
Atribacterota,CF13,61,126,48.41269841269841
Atribacterota,CF14,34,126,26.984126984126984
Atribacterota,CF15_17,31,126,24.6031746031746
Atribacterota,CF17_20,4,126,3.1746031746031744
Atribacterota,CF18,1,126,0.7936507936507936
Atribacterota,CF20,5,126,3.968253968253968
Atribacterota,CF21,5,126,3.968253968253968
Atribacterota,CF22,7,126,5.555555555555555
Atribacterota,CF24,24,126,19.047619047619047
Atribacterota,CF25,1,126,0.7936507936507936
Atribacterota,CF2_10,4,126,3.1746031746031744
Atribacterota,CF2_4,8,126,6.349206349206349
Atribacterota,CF3,15,126,11.904761904761903
Atribacterota,CF5,28,126,22.22222222222222
Atribacterota,CF6,12,126,9.523809523809524
Atribacterota,CF7,5,126,3.968253968253968
Atribacterota,CF9_9,34,126,26.984126984126984
Auribacterota,CF12,5,9,55.55555555555556
Auribacterota,CF13,5,9,55.55555555555556
Auribacterota,CF24,5,9,55.55555555555556
Auribacterota,CF6,3,9,33.33333333333333
B130-G9,CF12,4,4,100.0
B130-G9,CF13,3,4,75.0
B130-G9,CF14,3,4,75.0
B130-G9,CF24,4,4,100.0
B130-G9,CF5,1,4,25.0
B130-G9,CF6,4,4,100.0
BMS3Abin14,CF12,13,20,65.0
